quantifier	sent	category	subject	pos_target
Many	Many hoes are used to plow fields or clear snow.	quasidef	Hoes	1
Most	Most hoes are used to plow fields or clear snow.	quasidef	Hoes	1
All	All hoes are used to plow fields or clear snow.	quasidef	Hoes	1
Gen	Hair gels produce a smooth, shiny surface.	character	Hair gels	1
Few	Few hair gels produce a smooth, shiny surface.	character	Hair gels	2
Some	Some hair gels produce a smooth, shiny surface.	character	Hair gels	2
Many	Many hair gels produce a smooth, shiny surface.	character	Hair gels	2
Most	Most hair gels produce a smooth, shiny surface.	character	Hair gels	2
All	All hair gels produce a smooth, shiny surface.	character	Hair gels	2
Gen	Hair clips are attached to the head.	quasidef	Hair clips	1
Few	Few hair clips are attached to the head.	quasidef	Hair clips	2
Some	Some hair clips are attached to the head.	quasidef	Hair clips	2
Many	Many hair clips are attached to the head.	quasidef	Hair clips	2
Most	Most hair clips are attached to the head.	quasidef	Hair clips	2
All	All hair clips are attached to the head.	quasidef	Hair clips	2
Gen	Hair clips are attached to the hair.	quasidef	Hair clips	1
Few	Few hair clips are attached to the hair.	quasidef	Hair clips	2
Some	Some hair clips are attached to the hair.	quasidef	Hair clips	2
Many	Many hair clips are attached to the hair.	quasidef	Hair clips	2
Most	Most hair clips are attached to the hair.	quasidef	Hair clips	2
All	All hair clips are attached to the hair.	quasidef	Hair clips	2
Gen	Guns may be used to commit a crime.	quasidef	Guns	0
Few	Few guns may be used to commit a crime.	quasidef	Guns	1
Some	Some guns may be used to commit a crime.	quasidef	Guns	1
Many	Many guns may be used to commit a crime.	quasidef	Guns	1
Most	Most guns may be used to commit a crime.	quasidef	Guns	1
All	All guns may be used to commit a crime.	quasidef	Guns	1
Gen	Guns can be bought.	character	Guns	0
Few	Few guns can be bought.	character	Guns	1
Some	Some guns can be bought.	character	Guns	1
Many	Many guns can be bought.	character	Guns	1
Most	Most guns can be bought.	character	Guns	1
All	All guns can be bought.	character	Guns	1
Gen	Family pets are predisposed to certain health issues.	character	Family pets	1
Few	Few family pets are predisposed to certain health issues.	character	Family pets	2
Some	Some family pets are predisposed to certain health issues.	character	Family pets	2
Many	Many family pets are predisposed to certain health issues.	character	Family pets	2
Most	Most family pets are predisposed to certain health issues.	character	Family pets	2
All	All family pets are predisposed to certain health issues.	character	Family pets	2
Gen	Dvd players are connected to a television via hdmi.	invirtue	Dvd players	1
Few	Few dvd players are connected to a television via hdmi.	invirtue	Dvd players	2
Some	Some dvd players are connected to a television via hdmi.	invirtue	Dvd players	2
Many	Many dvd players are connected to a television via hdmi.	invirtue	Dvd players	2
Most	Most dvd players are connected to a television via hdmi.	invirtue	Dvd players	2
All	All dvd players are connected to a television via hdmi.	invirtue	Dvd players	2
Gen	Drummers are taught to play with their hands.	character	Drummers	0
Few	Few drummers are taught to play with their hands.	character	Drummers	1
Some	Some drummers are taught to play with their hands.	character	Drummers	1
Many	Many drummers are taught to play with their hands.	character	Drummers	1
Most	Most drummers are taught to play with their hands.	character	Drummers	1
All	All drummers are taught to play with their hands.	character	Drummers	1
Gen	Cudgels can be made of metal, wood, or other materials.	invirtue	Cudgels	0
Few	Few cudgels can be made of metal, wood, or other materials.	invirtue	Cudgels	1
Some	Some cudgels can be made of metal, wood, or other materials.	invirtue	Cudgels	1
Many	Many cudgels can be made of metal, wood, or other materials.	invirtue	Cudgels	1
Most	Most cudgels can be made of metal, wood, or other materials.	invirtue	Cudgels	1
All	All cudgels can be made of metal, wood, or other materials.	invirtue	Cudgels	1
Gen	Corrections are given to inmates who have committed serious crimes, including murder.	quasidef	Corrections	0
Few	Few corrections are given to inmates who have committed serious crimes, including murder.	quasidef	Corrections	1
Some	Some corrections are given to inmates who have committed serious crimes, including murder.	quasidef	Corrections	1
Many	Many corrections are given to inmates who have committed serious crimes, including murder.	quasidef	Corrections	1
Most	Most corrections are given to inmates who have committed serious crimes, including murder.	quasidef	Corrections	1
All	All corrections are given to inmates who have committed serious crimes, including murder.	quasidef	Corrections	1
Gen	Cold storages are stored in the freezer.	character	Cold storages	1
Few	Few cold storages are stored in the freezer.	character	Cold storages	2
Some	Some cold storages are stored in the freezer.	character	Cold storages	2
Many	Many cold storages are stored in the freezer.	character	Cold storages	2
Most	Most cold storages are stored in the freezer.	character	Cold storages	2
All	All cold storages are stored in the freezer.	character	Cold storages	2
Gen	Coincidences may be attributed to chance.	quasidef	Coincidences	0
Few	Few coincidences may be attributed to chance.	quasidef	Coincidences	1
Some	Some coincidences may be attributed to chance.	quasidef	Coincidences	1
Many	Many coincidences may be attributed to chance.	quasidef	Coincidences	1
Most	Most coincidences may be attributed to chance.	quasidef	Coincidences	1
All	All coincidences may be attributed to chance.	quasidef	Coincidences	1
Gen	Coasters are made of wood.	character	Coasters	0
Few	Few coasters are made of wood.	character	Coasters	1
Some	Some coasters are made of wood.	character	Coasters	1
Many	Many coasters are made of wood.	character	Coasters	1
Most	Most coasters are made of wood.	character	Coasters	1
All	All coasters are made of wood.	character	Coasters	1
Gen	Clothes dryers have a thermostat, which controls how hot your clothes get.	invirtue	Clothes	0
Few	Few clothes dryers have a thermostat, which controls how hot your clothes get.	invirtue	Clothes	1
Some	Some clothes dryers have a thermostat, which controls how hot your clothes get.	invirtue	Clothes	1
Many	Many clothes dryers have a thermostat, which controls how hot your clothes get.	invirtue	Clothes	1
Most	Most clothes dryers have a thermostat, which controls how hot your clothes get.	invirtue	Clothes	1
All	All clothes dryers have a thermostat, which controls how hot your clothes get.	invirtue	Clothes	1
Gen	Clocks are set to the local timezone.	quasidef	Clocks	0
Few	Few clocks are set to the local timezone.	quasidef	Clocks	1
Some	Some clocks are set to the local timezone.	quasidef	Clocks	1
Many	Many clocks are set to the local timezone.	quasidef	Clocks	1
Most	Most clocks are set to the local timezone.	quasidef	Clocks	1
All	All clocks are set to the local timezone.	quasidef	Clocks	1
Gen	Cakes may have several layers.	character	Cakes	0
Few	Few cakes may have several layers.	character	Cakes	1
Some	Some cakes may have several layers.	character	Cakes	1
Many	Many cakes may have several layers.	character	Cakes	1
Most	Most cakes may have several layers.	character	Cakes	1
All	All cakes may have several layers.	character	Cakes	1
Gen	Cakes are made with a mix.	character	Cakes	0
Few	Few cakes are made with a mix.	character	Cakes	1
Some	Some cakes are made with a mix.	character	Cakes	1
Many	Many cakes are made with a mix.	character	Cakes	1
Most	Most cakes are made with a mix.	character	Cakes	1
All	All cakes are made with a mix.	character	Cakes	1
Gen	Bulldozers have been used to clear the land.	invirtue	Bulldozers	0
Few	Few bulldozers have been used to clear the land.	invirtue	Bulldozers	1
Some	Some bulldozers have been used to clear the land.	invirtue	Bulldozers	1
Many	Many bulldozers have been used to clear the land.	invirtue	Bulldozers	1
Most	Most bulldozers have been used to clear the land.	invirtue	Bulldozers	1
All	All bulldozers have been used to clear the land.	invirtue	Bulldozers	1
Gen	Bows may have a string attached.	invirtue	Bows	0
Few	Few bows may have a string attached.	invirtue	Bows	1
Some	Some bows may have a string attached.	invirtue	Bows	1
Many	Many bows may have a string attached.	invirtue	Bows	1
Most	Most bows may have a string attached.	invirtue	Bows	1
All	All bows may have a string attached.	invirtue	Bows	1
Gen	Bobsleighs are used for the olympic games.	invirtue	Bobsleighs	0
Few	Few bobsleighs are used for the olympic games.	invirtue	Bobsleighs	1
Some	Some bobsleighs are used for the olympic games.	invirtue	Bobsleighs	1
Many	Many bobsleighs are used for the olympic games.	invirtue	Bobsleighs	1
Most	Most bobsleighs are used for the olympic games.	invirtue	Bobsleighs	1
All	All bobsleighs are used for the olympic games.	invirtue	Bobsleighs	1
Gen	Bleaches may have adverse effects on the skin.	character	Bleaches	0
Few	Few bleaches may have adverse effects on the skin.	character	Bleaches	1
Some	Some bleaches may have adverse effects on the skin.	character	Bleaches	1
Many	Many bleaches may have adverse effects on the skin.	character	Bleaches	1
Most	Most bleaches may have adverse effects on the skin.	character	Bleaches	1
All	All bleaches may have adverse effects on the skin.	character	Bleaches	1
Gen	Bay leaves are used to flavor soups, stews, or sauces.	quasidef	Bay leaves	1
Few	Few bay leaves are used to flavor soups, stews, or sauces.	quasidef	Bay leaves	2
Some	Some bay leaves are used to flavor soups, stews, or sauces.	quasidef	Bay leaves	2
Many	Many bay leaves are used to flavor soups, stews, or sauces.	quasidef	Bay leaves	2
Most	Most bay leaves are used to flavor soups, stews, or sauces.	quasidef	Bay leaves	2
All	All bay leaves are used to flavor soups, stews, or sauces.	quasidef	Bay leaves	2
Gen	Backhoes can be used to dig trenches, but it is also possible to use them to remove debris.	quasidef	Backhoes	0
Few	Few backhoes can be used to dig trenches, but it is also possible to use them to remove debris.	quasidef	Backhoes	1
Some	Some backhoes can be used to dig trenches, but it is also possible to use them to remove debris.	quasidef	Backhoes	1
Many	Many backhoes can be used to dig trenches, but it is also possible to use them to remove debris.	quasidef	Backhoes	1
Most	Most backhoes can be used to dig trenches, but it is also possible to use them to remove debris.	quasidef	Backhoes	1
All	All backhoes can be used to dig trenches, but it is also possible to use them to remove debris.	quasidef	Backhoes	1
Gen	Backhoes can be used to dig a hole.	quasidef	Backhoes	0
Few	Few backhoes can be used to dig a hole.	quasidef	Backhoes	1
Some	Some backhoes can be used to dig a hole.	quasidef	Backhoes	1
Many	Many backhoes can be used to dig a hole.	quasidef	Backhoes	1
Most	Most backhoes can be used to dig a hole.	quasidef	Backhoes	1
All	All backhoes can be used to dig a hole.	quasidef	Backhoes	1
Gen	Apples are used to make cider, which is an alcoholic beverage.	invirtue	Apples	0
Few	Few apples are used to make cider, which is an alcoholic beverage.	invirtue	Apples	1
Some	Some apples are used to make cider, which is an alcoholic beverage.	invirtue	Apples	1
Many	Many apples are used to make cider, which is an alcoholic beverage.	invirtue	Apples	1
Most	Most apples are used to make cider, which is an alcoholic beverage.	invirtue	Apples	1
All	All apples are used to make cider, which is an alcoholic beverage.	invirtue	Apples	1
Gen	Ambulances may have to make multiple trips to the scene.	character	Ambulances	0
Few	Few ambulances may have to make multiple trips to the scene.	character	Ambulances	1
Some	Some ambulances may have to make multiple trips to the scene.	character	Ambulances	1
Many	Many ambulances may have to make multiple trips to the scene.	character	Ambulances	1
Most	Most ambulances may have to make multiple trips to the scene.	character	Ambulances	1
All	All ambulances may have to make multiple trips to the scene.	character	Ambulances	1
Gen	Ambulances can only take patients to the nearest hospital.	character	Ambulances	0
Few	Few ambulances can only take patients to the nearest hospital.	character	Ambulances	1
Some	Some ambulances can only take patients to the nearest hospital.	character	Ambulances	1
Many	Many ambulances can only take patients to the nearest hospital.	character	Ambulances	1
Most	Most ambulances can only take patients to the nearest hospital.	character	Ambulances	1
All	All ambulances can only take patients to the nearest hospital.	character	Ambulances	1
Gen	Abbeys have their own chapel.	quasidef	Abbeys	0
Few	Few abbeys have their own chapel.	quasidef	Abbeys	1
Some	Some abbeys have their own chapel.	quasidef	Abbeys	1
Many	Many abbeys have their own chapel.	quasidef	Abbeys	1
Most	Most abbeys have their own chapel.	quasidef	Abbeys	1
All	All abbeys have their own chapel.	quasidef	Abbeys	1
Gen	Stomachs are an important part of the body.	quasidef	Stomachs	0
Few	Few stomachs are an important part of the body.	quasidef	Stomachs	1
Some	Some stomachs are an important part of the body.	quasidef	Stomachs	1
Many	Many stomachs are an important part of the body.	quasidef	Stomachs	1
Most	Most stomachs are an important part of the body.	quasidef	Stomachs	1
All	All stomachs are an important part of the body.	quasidef	Stomachs	1
Gen	Stimulants can be used to treat adhd.	character	Stimulants	0
Few	Few stimulants can be used to treat adhd.	character	Stimulants	1
Some	Some stimulants can be used to treat adhd.	character	Stimulants	1
Many	Many stimulants can be used to treat adhd.	character	Stimulants	1
Most	Most stimulants can be used to treat adhd.	character	Stimulants	1
All	All stimulants can be used to treat adhd.	character	Stimulants	1
Gen	Spaceships can be used to travel through space.	quasidef	Spaceships	0
Few	Few spaceships can be used to travel through space.	quasidef	Spaceships	1
Some	Some spaceships can be used to travel through space.	quasidef	Spaceships	1
Many	Many spaceships can be used to travel through space.	quasidef	Spaceships	1
Most	Most spaceships can be used to travel through space.	quasidef	Spaceships	1
All	All spaceships can be used to travel through space.	quasidef	Spaceships	1
Gen	Screws have a tendency to loosen.	character	Screws	0
Few	Few screws have a tendency to loosen.	character	Screws	1
Some	Some screws have a tendency to loosen.	character	Screws	1
Many	Many screws have a tendency to loosen.	character	Screws	1
Most	Most screws have a tendency to loosen.	character	Screws	1
All	All screws have a tendency to loosen.	character	Screws	1
Gen	Remote controls may be used to adjust the volume, play, pause, next track, previous track, skip forward/back	character	Remote controls	1
Few	Few remote controls may be used to adjust the volume, play, pause, next track, previous track, skip forward/back	character	Remote controls	2
Some	Some remote controls may be used to adjust the volume, play, pause, next track, previous track, skip forward/back	character	Remote controls	2
Many	Many remote controls may be used to adjust the volume, play, pause, next track, previous track, skip forward/back	character	Remote controls	2
Most	Most remote controls may be used to adjust the volume, play, pause, next track, previous track, skip forward/back	character	Remote controls	2
All	All remote controls may be used to adjust the volume, play, pause, next track, previous track, skip forward/back	character	Remote controls	2
Gen	Pressure cookers are a great way to cook large batches.	character	Pressure cookers	1
Few	Few pressure cookers are a great way to cook large batches.	character	Pressure cookers	2
Some	Some pressure cookers are a great way to cook large batches.	character	Pressure cookers	2
Many	Many pressure cookers are a great way to cook large batches.	character	Pressure cookers	2
Most	Most pressure cookers are a great way to cook large batches.	character	Pressure cookers	2
All	All pressure cookers are a great way to cook large batches.	character	Pressure cookers	2
Gen	Pine trees are an important part of the natural environment.	quasidef	Pine trees	1
Few	Few pine trees are an important part of the natural environment.	quasidef	Pine trees	2
Some	Some pine trees are an important part of the natural environment.	quasidef	Pine trees	2
Many	Many pine trees are an important part of the natural environment.	quasidef	Pine trees	2
Most	Most pine trees are an important part of the natural environment.	quasidef	Pine trees	2
All	All pine trees are an important part of the natural environment.	quasidef	Pine trees	2
Gen	Inflammatory diseases may have multiple causes.	invirtue	Inflammatory diseases	1
Few	Few inflammatory diseases may have multiple causes.	invirtue	Inflammatory diseases	2
Some	Some inflammatory diseases may have multiple causes.	invirtue	Inflammatory diseases	2
Many	Many inflammatory diseases may have multiple causes.	invirtue	Inflammatory diseases	2
Most	Most inflammatory diseases may have multiple causes.	invirtue	Inflammatory diseases	2
All	All inflammatory diseases may have multiple causes.	invirtue	Inflammatory diseases	2
Gen	Inflammatory diseases may be caused by an imbalance of the immune system.	quasidef	Inflammatory diseases	1
Few	Few inflammatory diseases may be caused by an imbalance of the immune system.	quasidef	Inflammatory diseases	2
Some	Some inflammatory diseases may be caused by an imbalance of the immune system.	quasidef	Inflammatory diseases	2
Many	Many inflammatory diseases may be caused by an imbalance of the immune system.	quasidef	Inflammatory diseases	2
Most	Most inflammatory diseases may be caused by an imbalance of the immune system.	quasidef	Inflammatory diseases	2
All	All inflammatory diseases may be caused by an imbalance of the immune system.	quasidef	Inflammatory diseases	2
Gen	Zebras may be seen in the wild.	invirtue	Zebras	0
Few	Few zebras may be seen in the wild.	invirtue	Zebras	1
Some	Some zebras may be seen in the wild.	invirtue	Zebras	1
Many	Many zebras may be seen in the wild.	invirtue	Zebras	1
Most	Most zebras may be seen in the wild.	invirtue	Zebras	1
All	All zebras may be seen in the wild.	invirtue	Zebras	1
Gen	X-rays have been used to diagnose cancer in the past.	character	X-rays	0
Few	Few x-rays have been used to diagnose cancer in the past.	character	X-rays	1
Some	Some x-rays have been used to diagnose cancer in the past.	character	X-rays	1
Many	Many x-rays have been used to diagnose cancer in the past.	character	X-rays	1
Most	Most x-rays have been used to diagnose cancer in the past.	character	X-rays	1
All	All x-rays have been used to diagnose cancer in the past.	character	X-rays	1
Gen	Water parks may be closed due to inclement weather or other unforeseen circumstances.	invirtue	Water parks	1
Few	Few water parks may be closed due to inclement weather or other unforeseen circumstances.	invirtue	Water parks	2
Some	Some water parks may be closed due to inclement weather or other unforeseen circumstances.	invirtue	Water parks	2
Many	Many water parks may be closed due to inclement weather or other unforeseen circumstances.	invirtue	Water parks	2
Most	Most water parks may be closed due to inclement weather or other unforeseen circumstances.	invirtue	Water parks	2
All	All water parks may be closed due to inclement weather or other unforeseen circumstances.	invirtue	Water parks	2
Gen	Telephone books have lists of people.	quasidef	Telephone books	1
Few	Few telephone books have lists of people.	quasidef	Telephone books	2
Some	Some telephone books have lists of people.	quasidef	Telephone books	2
Many	Many telephone books have lists of people.	quasidef	Telephone books	2
Most	Most telephone books have lists of people.	quasidef	Telephone books	2
All	All telephone books have lists of people.	quasidef	Telephone books	2
Gen	Technologies are developed to address specific problems.	quasidef	Technologies	0
Few	Few technologies are developed to address specific problems.	quasidef	Technologies	1
Some	Some technologies are developed to address specific problems.	quasidef	Technologies	1
Many	Many technologies are developed to address specific problems.	quasidef	Technologies	1
Most	Most technologies are developed to address specific problems.	quasidef	Technologies	1
All	All technologies are developed to address specific problems.	quasidef	Technologies	1
Gen	Technologies are designed to be used for a specific purpose.	quasidef	Technologies	0
Few	Few technologies are designed to be used for a specific purpose.	quasidef	Technologies	1
Some	Some technologies are designed to be used for a specific purpose.	quasidef	Technologies	1
Many	Many technologies are designed to be used for a specific purpose.	quasidef	Technologies	1
Most	Most technologies are designed to be used for a specific purpose.	quasidef	Technologies	1
All	All technologies are designed to be used for a specific purpose.	quasidef	Technologies	1
Gen	Tank tops are a great way to keep cool.	quasidef	Tank tops	1
Few	Few tank tops are a great way to keep cool.	quasidef	Tank tops	2
Some	Some tank tops are a great way to keep cool.	quasidef	Tank tops	2
Many	Many tank tops are a great way to keep cool.	quasidef	Tank tops	2
Most	Most tank tops are a great way to keep cool.	quasidef	Tank tops	2
All	All tank tops are a great way to keep cool.	quasidef	Tank tops	2
Gen	Suitcases are used to transport goods from one location to another.	quasidef	Suitcases	0
Few	Few suitcases are used to transport goods from one location to another.	quasidef	Suitcases	1
Some	Some suitcases are used to transport goods from one location to another.	quasidef	Suitcases	1
Many	Many suitcases are used to transport goods from one location to another.	quasidef	Suitcases	1
Most	Most suitcases are used to transport goods from one location to another.	quasidef	Suitcases	1
All	All suitcases are used to transport goods from one location to another.	quasidef	Suitcases	1
Gen	Strawberries have a mild flavor.	character	Strawberries	0
Few	Few strawberries have a mild flavor.	character	Strawberries	1
Some	Some strawberries have a mild flavor.	character	Strawberries	1
Many	Many strawberries have a mild flavor.	character	Strawberries	1
Most	Most strawberries have a mild flavor.	character	Strawberries	1
All	All strawberries have a mild flavor.	character	Strawberries	1
Gen	Stocks can be expected to go up.	character	Stocks	0
Few	Few stocks can be expected to go up.	character	Stocks	1
Some	Some stocks can be expected to go up.	character	Stocks	1
Many	Many stocks can be expected to go up.	character	Stocks	1
Most	Most stocks can be expected to go up.	character	Stocks	1
All	All stocks can be expected to go up.	character	Stocks	1
Gen	Stimulants are used to treat adhd.	invirtue	Stimulants	0
Few	Few stimulants are used to treat adhd.	invirtue	Stimulants	1
Some	Some stimulants are used to treat adhd.	invirtue	Stimulants	1
Many	Many stimulants are used to treat adhd.	invirtue	Stimulants	1
Most	Most stimulants are used to treat adhd.	invirtue	Stimulants	1
All	All stimulants are used to treat adhd.	invirtue	Stimulants	1
Gen	Shoeboxes can be considered to be a good way to store items.	quasidef	Shoeboxes	0
Few	Few shoeboxes can be considered to be a good way to store items.	quasidef	Shoeboxes	1
Some	Some shoeboxes can be considered to be a good way to store items.	quasidef	Shoeboxes	1
Many	Many shoeboxes can be considered to be a good way to store items.	quasidef	Shoeboxes	1
Most	Most shoeboxes can be considered to be a good way to store items.	quasidef	Shoeboxes	1
All	All shoeboxes can be considered to be a good way to store items.	quasidef	Shoeboxes	1
Gen	Screws are used to fasten two pieces of metal together.	invirtue	Screws	0
Few	Few screws are used to fasten two pieces of metal together.	invirtue	Screws	1
Some	Some screws are used to fasten two pieces of metal together.	invirtue	Screws	1
Many	Many screws are used to fasten two pieces of metal together.	invirtue	Screws	1
Most	Most screws are used to fasten two pieces of metal together.	invirtue	Screws	1
All	All screws are used to fasten two pieces of metal together.	invirtue	Screws	1
Gen	Scenes have to be shot in a certain way.	character	Scenes	0
Few	Few scenes have to be shot in a certain way.	character	Scenes	1
Some	Some scenes have to be shot in a certain way.	character	Scenes	1
Many	Many scenes have to be shot in a certain way.	character	Scenes	1
Most	Most scenes have to be shot in a certain way.	character	Scenes	1
All	All scenes have to be shot in a certain way.	character	Scenes	1
Gen	Sand dollars have been known to be found on the beaches.	quasidef	Sand dollars	1
Few	Few sand dollars have been known to be found on the beaches.	quasidef	Sand dollars	2
Some	Some sand dollars have been known to be found on the beaches.	quasidef	Sand dollars	2
Many	Many sand dollars have been known to be found on the beaches.	quasidef	Sand dollars	2
Most	Most sand dollars have been known to be found on the beaches.	quasidef	Sand dollars	2
All	All sand dollars have been known to be found on the beaches.	quasidef	Sand dollars	2
Gen	Routers should be configured.	quasidef	Routers	0
Few	Few routers should be configured.	quasidef	Routers	1
Some	Some routers should be configured.	quasidef	Routers	1
Many	Many routers should be configured.	quasidef	Routers	1
Most	Most routers should be configured.	quasidef	Routers	1
All	All routers should be configured.	quasidef	Routers	1
Gen	Riverbanks may be used for recreational purposes.	character	Riverbanks	0
Few	Few riverbanks may be used for recreational purposes.	character	Riverbanks	1
Some	Some riverbanks may be used for recreational purposes.	character	Riverbanks	1
Many	Many riverbanks may be used for recreational purposes.	character	Riverbanks	1
Most	Most riverbanks may be used for recreational purposes.	character	Riverbanks	1
All	All riverbanks may be used for recreational purposes.	character	Riverbanks	1
Gen	Registers are used to keep track of the state.	character	Registers	0
Few	Few registers are used to keep track of the state.	character	Registers	1
Some	Some registers are used to keep track of the state.	character	Registers	1
Many	Many registers are used to keep track of the state.	character	Registers	1
Most	Most registers are used to keep track of the state.	character	Registers	1
All	All registers are used to keep track of the state.	character	Registers	1
Gen	Raccoons can be found in the wild.	quasidef	Raccoons	0
Few	Few raccoons can be found in the wild.	quasidef	Raccoons	1
Some	Some raccoons can be found in the wild.	quasidef	Raccoons	1
Many	Many raccoons can be found in the wild.	quasidef	Raccoons	1
Most	Most raccoons can be found in the wild.	quasidef	Raccoons	1
All	All raccoons can be found in the wild.	quasidef	Raccoons	1
Gen	Quakes should be reported to the usgs earthquake hazards program.	character	Quakes	0
Few	Few quakes should be reported to the usgs earthquake hazards program.	character	Quakes	1
Some	Some quakes should be reported to the usgs earthquake hazards program.	character	Quakes	1
Many	Many quakes should be reported to the usgs earthquake hazards program.	character	Quakes	1
Most	Most quakes should be reported to the usgs earthquake hazards program.	character	Quakes	1
All	All quakes should be reported to the usgs earthquake hazards program.	character	Quakes	1
Gen	Pressure cookers may have a higher pressure.	quasidef	Pressure cookers	1
Few	Few pressure cookers may have a higher pressure.	quasidef	Pressure cookers	2
Some	Some pressure cookers may have a higher pressure.	quasidef	Pressure cookers	2
Many	Many pressure cookers may have a higher pressure.	quasidef	Pressure cookers	2
Most	Most pressure cookers may have a higher pressure.	quasidef	Pressure cookers	2
All	All pressure cookers may have a higher pressure.	quasidef	Pressure cookers	2
Gen	Pressure cookers have a maximum temperature.	character	Pressure cookers	1
Few	Few pressure cookers have a maximum temperature.	character	Pressure cookers	2
Some	Some pressure cookers have a maximum temperature.	character	Pressure cookers	2
Many	Many pressure cookers have a maximum temperature.	character	Pressure cookers	2
Most	Most pressure cookers have a maximum temperature.	character	Pressure cookers	2
All	All pressure cookers have a maximum temperature.	character	Pressure cookers	2
Gen	Pressure cookers can be set to high or low temperatures.	character	Pressure cookers	1
Few	Few pressure cookers can be set to high or low temperatures.	character	Pressure cookers	2
Some	Some pressure cookers can be set to high or low temperatures.	character	Pressure cookers	2
Many	Many pressure cookers can be set to high or low temperatures.	character	Pressure cookers	2
Most	Most pressure cookers can be set to high or low temperatures.	character	Pressure cookers	2
All	All pressure cookers can be set to high or low temperatures.	character	Pressure cookers	2
Gen	Porpoises have the ability to swim.	quasidef	Porpoises	0
Few	Few porpoises have the ability to swim.	quasidef	Porpoises	1
Some	Some porpoises have the ability to swim.	quasidef	Porpoises	1
Many	Many porpoises have the ability to swim.	quasidef	Porpoises	1
Most	Most porpoises have the ability to swim.	quasidef	Porpoises	1
All	All porpoises have the ability to swim.	quasidef	Porpoises	1
Gen	Planes have to fly at a certain altitude.	character	Planes	0
Few	Few planes have to fly at a certain altitude.	character	Planes	1
Some	Some planes have to fly at a certain altitude.	character	Planes	1
Many	Many planes have to fly at a certain altitude.	character	Planes	1
Most	Most planes have to fly at a certain altitude.	character	Planes	1
All	All planes have to fly at a certain altitude.	character	Planes	1
Gen	Perfumes may have a very strong smell.	invirtue	Perfumes	0
Few	Few perfumes may have a very strong smell.	invirtue	Perfumes	1
Some	Some perfumes may have a very strong smell.	invirtue	Perfumes	1
Many	Many perfumes may have a very strong smell.	invirtue	Perfumes	1
Most	Most perfumes may have a very strong smell.	invirtue	Perfumes	1
All	All perfumes may have a very strong smell.	invirtue	Perfumes	1
Gen	Pecans produce a nutty, earthy flavor.	quasidef	Pecans	0
Few	Few pecans produce a nutty, earthy flavor.	quasidef	Pecans	1
Some	Some pecans produce a nutty, earthy flavor.	quasidef	Pecans	1
Many	Many pecans produce a nutty, earthy flavor.	quasidef	Pecans	1
Most	Most pecans produce a nutty, earthy flavor.	quasidef	Pecans	1
All	All pecans produce a nutty, earthy flavor.	quasidef	Pecans	1
Gen	Pecans may be eaten fresh, dried or roasted.	invirtue	Pecans	0
Few	Few pecans may be eaten fresh, dried or roasted.	invirtue	Pecans	1
Some	Some pecans may be eaten fresh, dried or roasted.	invirtue	Pecans	1
Many	Many pecans may be eaten fresh, dried or roasted.	invirtue	Pecans	1
Most	Most pecans may be eaten fresh, dried or roasted.	invirtue	Pecans	1
All	All pecans may be eaten fresh, dried or roasted.	invirtue	Pecans	1
Gen	Newspapers are owned by the people who buy them.	character	Newspapers	0
Few	Few newspapers are owned by the people who buy them.	character	Newspapers	1
Some	Some newspapers are owned by the people who buy them.	character	Newspapers	1
Many	Many newspapers are owned by the people who buy them.	character	Newspapers	1
Most	Most newspapers are owned by the people who buy them.	character	Newspapers	1
All	All newspapers are owned by the people who buy them.	character	Newspapers	1
Gen	Musical notes may be played on a piano, guitar, banjo, ukulele, etc.	quasidef	Musical notes	1
Few	Few musical notes may be played on a piano, guitar, banjo, ukulele, etc.	quasidef	Musical notes	2
Some	Some musical notes may be played on a piano, guitar, banjo, ukulele, etc.	quasidef	Musical notes	2
Many	Many musical notes may be played on a piano, guitar, banjo, ukulele, etc.	quasidef	Musical notes	2
Most	Most musical notes may be played on a piano, guitar, banjo, ukulele, etc.	quasidef	Musical notes	2
All	All musical notes may be played on a piano, guitar, banjo, ukulele, etc.	quasidef	Musical notes	2
Gen	Molluscs may be eaten raw, cooked, or boiled.	quasidef	Molluscs	0
Few	Few molluscs may be eaten raw, cooked, or boiled.	quasidef	Molluscs	1
Some	Some molluscs may be eaten raw, cooked, or boiled.	quasidef	Molluscs	1
Many	Many molluscs may be eaten raw, cooked, or boiled.	quasidef	Molluscs	1
Most	Most molluscs may be eaten raw, cooked, or boiled.	quasidef	Molluscs	1
All	All molluscs may be eaten raw, cooked, or boiled.	quasidef	Molluscs	1
Gen	Molluscs may be distinguished from other animals.	character	Molluscs	0
Few	Few molluscs may be distinguished from other animals.	character	Molluscs	1
Some	Some molluscs may be distinguished from other animals.	character	Molluscs	1
Many	Many molluscs may be distinguished from other animals.	character	Molluscs	1
Most	Most molluscs may be distinguished from other animals.	character	Molluscs	1
All	All molluscs may be distinguished from other animals.	character	Molluscs	1
Gen	Mesh skimmers are used to steal credit card data.	quasidef	Mesh skimmers	1
Few	Few mesh skimmers are used to steal credit card data.	quasidef	Mesh skimmers	2
Some	Some mesh skimmers are used to steal credit card data.	quasidef	Mesh skimmers	2
Many	Many mesh skimmers are used to steal credit card data.	quasidef	Mesh skimmers	2
Most	Most mesh skimmers are used to steal credit card data.	quasidef	Mesh skimmers	2
All	All mesh skimmers are used to steal credit card data.	quasidef	Mesh skimmers	2
